"d1_code"	"d2_code"	"d1_name"	"d2_name"	"direction_yes_no"	"n_dir12"	"n_dir21"	"n_total"
"M79"	"M25"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other joint disorder, not elsewhere classified"	1	6002	5434	11436
"M79"	"M46"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other inflammatory spondylopathies"	1	744	356	1100
"M79"	"M47"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Spondylosis"	1	4533	3782	8315
"M79"	"M48"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Other spondylopathies"	1	4784	2728	7512
"M79"	"M66"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Spontaneous rupture of synovium and tendon"	1	510	346	856
"M79"	"M75"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Shoulder lesions"	1	9719	8205	17924
"M79"	"M80"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Osteoporosis with current pathological fracture"	1	2537	1036	3573
"M79"	"M81"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Osteoporosis without current pathological fracture"	1	5094	2513	7607
"M79"	"N19"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Unspecified kidney failure"	1	1069	417	1486
"M79"	"N30"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Cystitis"	1	7789	5639	13428
"M79"	"O72"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Postpartum hemorrhage"	1	6872	0	6872
"M79"	"Q61"	"Oth and unsp soft tissue disorders, not elsewhere classified"	"Cystic kidney disease"	1	356	147	503
"M80"	"A04"	"Osteoporosis with current pathological fracture"	"Other bacterial intestinal infections"	1	748	475	1223
"M80"	"A41"	"Osteoporosis with current pathological fracture"	"Other sepsis"	1	3446	1917	5363
"M80"	"C25"	"Osteoporosis with current pathological fracture"	"Malignant neoplasm of pancreas"	1	228	74	302
"M80"	"C34"	"Osteoporosis with current pathological fracture"	"Malignant neoplasm of bronchus and lung"	1	1039	623	1662
"M80"	"C78"	"Osteoporosis with current pathological fracture"	"Secondary malignant neoplasm of resp and digestive organs"	1	699	265	964
"M80"	"C79"	"Osteoporosis with current pathological fracture"	"Secondary malignant neoplasm of other and unspecified sites"	1	591	294	885
"M80"	"E41"	"Osteoporosis with current pathological fracture"	"Nutritional marasmus"	1	262	120	382
"M80"	"E86"	"Osteoporosis with current pathological fracture"	"Volume depletion"	1	5699	4338	10037
"M80"	"F03"	"Osteoporosis with current pathological fracture"	"Unspecified dementia"	1	2724	2127	4851
"M80"	"G30"	"Osteoporosis with current pathological fracture"	"Alzheimer's disease"	1	655	300	955
"M80"	"L89"	"Osteoporosis with current pathological fracture"	"Pressure ulcer"	1	961	453	1414
"M81"	"A41"	"Osteoporosis without current pathological fracture"	"Other sepsis"	1	5659	2890	8549
"M81"	"B96"	"Osteoporosis without current pathological fracture"	"Oth bacterial agents as the cause of diseases classd elswhr"	1	328	197	525
"M81"	"C77"	"Osteoporosis without current pathological fracture"	"Secondary and unspecified malignant neoplasm of lymph nodes"	1	598	429	1027
"M81"	"D47"	"Osteoporosis without current pathological fracture"	"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"	1	649	448	1097
"M81"	"E41"	"Osteoporosis without current pathological fracture"	"Nutritional marasmus"	1	493	179	672
"M81"	"F03"	"Osteoporosis without current pathological fracture"	"Unspecified dementia"	1	4279	2265	6544
"M81"	"F05"	"Osteoporosis without current pathological fracture"	"Delirium due to known physiological condition"	1	2081	957	3038
"M81"	"G30"	"Osteoporosis without current pathological fracture"	"Alzheimer's disease"	1	1226	339	1565
"M81"	"G47"	"Osteoporosis without current pathological fracture"	"Sleep disorders"	1	1169	686	1855
"M81"	"J09"	"Osteoporosis without current pathological fracture"	"Influenza due to certain identified influenza viruses"	1	260	55	315
"M81"	"J15"	"Osteoporosis without current pathological fracture"	"Bacterial pneumonia, not elsewhere classified"	1	5716	3511	9227
"M81"	"J90"	"Osteoporosis without current pathological fracture"	"Pleural effusion, not elsewhere classified"	1	1014	550	1564
"M81"	"J91"	"Osteoporosis without current pathological fracture"	"Pleural effusion in conditions classified elsewhere"	1	344	222	566
"M81"	"J96"	"Osteoporosis without current pathological fracture"	"Respiratory failure, not elsewhere classified"	1	6337	3431	9768
"M81"	"K64"	"Osteoporosis without current pathological fracture"	"Hemorrhoids and perianal venous thrombosis"	1	1144	281	1425
"M81"	"L57"	"Osteoporosis without current pathological fracture"	"Skin changes due to chronic expsr to nonionizing radiation"	1	679	389	1068
"M81"	"L97"	"Osteoporosis without current pathological fracture"	"Non-pressure chronic ulcer of lower limb, NEC"	1	1528	881	2409
"M81"	"N18"	"Osteoporosis without current pathological fracture"	"Chronic kidney disease (CKD)"	1	2082	1408	3490
"M83"	"J22"	"Adult osteomalacia"	"Unspecified acute lower respiratory infection"	1	46	6	52
"M84"	"D12"	"Disorder of continuity of bone"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	171	78	249
"M84"	"G47"	"Disorder of continuity of bone"	"Sleep disorders"	1	171	49	220
"M84"	"L97"	"Disorder of continuity of bone"	"Non-pressure chronic ulcer of lower limb, NEC"	1	128	41	169
"M85"	"A41"	"Other disorders of bone density and structure"	"Other sepsis"	1	1411	600	2011
"M85"	"C15"	"Other disorders of bone density and structure"	"Malignant neoplasm of esophagus"	1	78	14	92
"M85"	"C22"	"Other disorders of bone density and structure"	"Malignant neoplasm of liver and intrahepatic bile ducts"	1	82	14	96
"M85"	"C25"	"Other disorders of bone density and structure"	"Malignant neoplasm of pancreas"	1	204	15	219
"M85"	"C34"	"Other disorders of bone density and structure"	"Malignant neoplasm of bronchus and lung"	1	855	232	1087
"M85"	"C78"	"Other disorders of bone density and structure"	"Secondary malignant neoplasm of resp and digestive organs"	1	813	123	936
"M85"	"C79"	"Other disorders of bone density and structure"	"Secondary malignant neoplasm of other and unspecified sites"	1	650	105	755
"M85"	"C80"	"Other disorders of bone density and structure"	"Malignant neoplasm without specification of site"	1	96	9	105
"M85"	"C90"	"Other disorders of bone density and structure"	"Multiple myeloma and malignant plasma cell neoplasms"	1	108	44	152
"M85"	"D09"	"Other disorders of bone density and structure"	"Carcinoma in situ of other and unspecified sites"	1	75	21	96
"M85"	"D64"	"Other disorders of bone density and structure"	"Other anemias"	1	1296	1010	2306
"M85"	"E86"	"Other disorders of bone density and structure"	"Volume depletion"	1	1582	609	2191
"M85"	"E87"	"Other disorders of bone density and structure"	"Other disorders of fluid, electrolyte and acid-base balance"	1	1142	579	1721
"M85"	"F03"	"Other disorders of bone density and structure"	"Unspecified dementia"	1	479	96	575
"M85"	"G30"	"Other disorders of bone density and structure"	"Alzheimer's disease"	1	277	10	287
"M85"	"G47"	"Other disorders of bone density and structure"	"Sleep disorders"	1	744	453	1197
"M85"	"I95"	"Other disorders of bone density and structure"	"Hypotension"	1	525	260	785
"M85"	"J22"	"Other disorders of bone density and structure"	"Unspecified acute lower respiratory infection"	1	410	277	687
"M85"	"J69"	"Other disorders of bone density and structure"	"Pneumonitis due to solids and liquids"	1	142	22	164
"M85"	"J96"	"Other disorders of bone density and structure"	"Respiratory failure, not elsewhere classified"	1	1249	707	1956
"M85"	"L89"	"Other disorders of bone density and structure"	"Pressure ulcer"	1	221	66	287
"M85"	"N17"	"Other disorders of bone density and structure"	"Acute kidney failure"	1	327	139	466
"M86"	"C34"	"Osteomyelitis"	"Malignant neoplasm of bronchus and lung"	1	149	24	173
"M86"	"C78"	"Osteomyelitis"	"Secondary malignant neoplasm of resp and digestive organs"	1	93	10	103
"M86"	"E87"	"Osteomyelitis"	"Other disorders of fluid, electrolyte and acid-base balance"	1	316	192	508
"M86"	"G47"	"Osteomyelitis"	"Sleep disorders"	1	113	46	159
"M86"	"O72"	"Osteomyelitis"	"Postpartum hemorrhage"	1	55	0	55
"M87"	"E86"	"Osteonecrosis"	"Volume depletion"	1	261	127	388
"M89"	"C61"	"Other disorders of bone"	"Malignant neoplasm of prostate"	1	220	124	344
"M89"	"G95"	"Other disorders of bone"	"Other and unspecified diseases of spinal cord"	1	100	30	130
"M89"	"I21"	"Other disorders of bone"	"Acute myocardial infarction"	1	321	165	486
"M89"	"I25"	"Other disorders of bone"	"Chronic ischemic heart disease"	1	499	320	819
"M89"	"I48"	"Other disorders of bone"	"Atrial fibrillation and flutter"	1	706	282	988
"M89"	"J18"	"Other disorders of bone"	"Pneumonia, unspecified organism"	1	1181	489	1670
"M89"	"M13"	"Other disorders of bone"	"Other arthritis"	1	212	119	331
"M89"	"M16"	"Other disorders of bone"	"Osteoarthritis of hip"	1	574	360	934
"M89"	"M25"	"Other disorders of bone"	"Other joint disorder, not elsewhere classified"	1	499	317	816
"M89"	"M75"	"Other disorders of bone"	"Shoulder lesions"	1	804	398	1202
"M89"	"M81"	"Other disorders of bone"	"Osteoporosis without current pathological fracture"	1	1103	573	1676
"M89"	"M85"	"Other disorders of bone"	"Other disorders of bone density and structure"	1	536	42	578
"M89"	"M99"	"Other disorders of bone"	"Biomechanical lesions, not elsewhere classified"	1	173	49	222
"M89"	"O72"	"Other disorders of bone"	"Postpartum hemorrhage"	1	203	14	217
"M89"	"O99"	"Other disorders of bone"	"Oth maternal diseases classd elsw but compl preg/chldbrth"	1	123	55	178
"M91"	"M23"	"Juvenile osteochondrosis of hip and pelvis"	"Internal derangement of knee"	1	59	8	67
"M91"	"M70"	"Juvenile osteochondrosis of hip and pelvis"	"Soft tissue disorders related to use, overuse and pressure"	1	74	20	94
"M91"	"M95"	"Juvenile osteochondrosis of hip and pelvis"	"Oth acquired deformities of ms sys and connective tissue"	1	45	5	50
"M92"	"L05"	"Other juvenile osteochondrosis"	"Pilonidal cyst and sinus"	1	47	0	47
"M92"	"M23"	"Other juvenile osteochondrosis"	"Internal derangement of knee"	1	535	346	881
"M92"	"N20"	"Other juvenile osteochondrosis"	"Calculus of kidney and ureter"	1	36	2	38
"M92"	"O36"	"Other juvenile osteochondrosis"	"Maternal care for other fetal problems"	1	25	0	25
"M92"	"O62"	"Other juvenile osteochondrosis"	"Abnormalities of forces of labor"	1	81	7	88
"M92"	"O68"	"Other juvenile osteochondrosis"	"Labor and delivery comp by abnlt of fetal acid-base balance"	1	50	0	50
"M93"	"E11"	"Other osteochondropathies"	"Type 2 diabetes mellitus"	1	135	9	144
"M93"	"H36"	"Other osteochondropathies"	"Retinal disorders in diseases classified elsewhere"	1	30	1	31
"M93"	"H91"	"Other osteochondropathies"	"Other and unspecified hearing loss"	1	87	20	107
"M93"	"I20"	"Other osteochondropathies"	"Angina pectoris"	1	133	19	152
"M93"	"I25"	"Other osteochondropathies"	"Chronic ischemic heart disease"	1	115	12	127
"M93"	"J18"	"Other osteochondropathies"	"Pneumonia, unspecified organism"	1	144	35	179
"M93"	"J96"	"Other osteochondropathies"	"Respiratory failure, not elsewhere classified"	1	53	0	53
"M93"	"K43"	"Other osteochondropathies"	"Ventral hernia"	1	28	0	28
"M93"	"K59"	"Other osteochondropathies"	"Other functional intestinal disorders"	1	149	19	168
"M93"	"L02"	"Other osteochondropathies"	"Cutaneous abscess, furuncle and carbuncle"	1	116	35	151
"M93"	"M17"	"Other osteochondropathies"	"Osteoarthritis of knee"	1	881	345	1226
"M93"	"M70"	"Other osteochondropathies"	"Soft tissue disorders related to use, overuse and pressure"	1	183	61	244
"M93"	"M79"	"Other osteochondropathies"	"Oth and unsp soft tissue disorders, not elsewhere classified"	1	451	287	738
"M93"	"M95"	"Other osteochondropathies"	"Oth acquired deformities of ms sys and connective tissue"	1	94	17	111
"M93"	"N30"	"Other osteochondropathies"	"Cystitis"	1	134	30	164
"M93"	"N39"	"Other osteochondropathies"	"Other disorders of urinary system"	1	95	15	110
"M93"	"O70"	"Other osteochondropathies"	"Perineal laceration during delivery"	1	143	35	178
"M94"	"J96"	"Other disorders of cartilage"	"Respiratory failure, not elsewhere classified"	1	57	1	58
"M94"	"M17"	"Other disorders of cartilage"	"Osteoarthritis of knee"	1	495	347	842
"M94"	"N18"	"Other disorders of cartilage"	"Chronic kidney disease (CKD)"	1	31	2	33
"M94"	"O72"	"Other disorders of cartilage"	"Postpartum hemorrhage"	1	165	54	219
"M95"	"A41"	"Oth acquired deformities of ms sys and connective tissue"	"Other sepsis"	1	172	14	186
"M95"	"C78"	"Oth acquired deformities of ms sys and connective tissue"	"Secondary malignant neoplasm of resp and digestive organs"	1	31	0	31
"M95"	"C79"	"Oth acquired deformities of ms sys and connective tissue"	"Secondary malignant neoplasm of other and unspecified sites"	1	42	5	47
"M95"	"D12"	"Oth acquired deformities of ms sys and connective tissue"	"Benign neoplasm of colon, rectum, anus and anal canal"	1	134	16	150
"M95"	"E11"	"Oth acquired deformities of ms sys and connective tissue"	"Type 2 diabetes mellitus"	1	167	67	234
"M95"	"E78"	"Oth acquired deformities of ms sys and connective tissue"	"Disorders of lipoprotein metabolism and other lipidemias"	1	242	57	299
"M95"	"E86"	"Oth acquired deformities of ms sys and connective tissue"	"Volume depletion"	1	258	41	299
"M95"	"G62"	"Oth acquired deformities of ms sys and connective tissue"	"Other and unspecified polyneuropathies"	1	61	15	76
"M95"	"I21"	"Oth acquired deformities of ms sys and connective tissue"	"Acute myocardial infarction"	1	140	50	190
"M95"	"I25"	"Oth acquired deformities of ms sys and connective tissue"	"Chronic ischemic heart disease"	1	197	76	273
"M95"	"I48"	"Oth acquired deformities of ms sys and connective tissue"	"Atrial fibrillation and flutter"	1	200	56	256
"M95"	"J15"	"Oth acquired deformities of ms sys and connective tissue"	"Bacterial pneumonia, not elsewhere classified"	1	171	17	188
"M95"	"J18"	"Oth acquired deformities of ms sys and connective tissue"	"Pneumonia, unspecified organism"	1	435	192	627
"M95"	"J44"	"Oth acquired deformities of ms sys and connective tissue"	"Other chronic obstructive pulmonary disease"	1	223	63	286
"M95"	"J96"	"Oth acquired deformities of ms sys and connective tissue"	"Respiratory failure, not elsewhere classified"	1	202	12	214
"M95"	"K22"	"Oth acquired deformities of ms sys and connective tissue"	"Other diseases of esophagus"	1	51	12	63
"M95"	"K59"	"Oth acquired deformities of ms sys and connective tissue"	"Other functional intestinal disorders"	1	444	199	643
"M95"	"N17"	"Oth acquired deformities of ms sys and connective tissue"	"Acute kidney failure"	1	41	1	42
"M95"	"N18"	"Oth acquired deformities of ms sys and connective tissue"	"Chronic kidney disease (CKD)"	1	84	2	86
"M95"	"N19"	"Oth acquired deformities of ms sys and connective tissue"	"Unspecified kidney failure"	1	37	2	39
"M95"	"N20"	"Oth acquired deformities of ms sys and connective tissue"	"Calculus of kidney and ureter"	1	159	80	239
"M95"	"N30"	"Oth acquired deformities of ms sys and connective tissue"	"Cystitis"	1	385	174	559
"M95"	"N39"	"Oth acquired deformities of ms sys and connective tissue"	"Other disorders of urinary system"	1	281	93	374
"M95"	"N46"	"Oth acquired deformities of ms sys and connective tissue"	"Male infertility"	1	104	36	140
"M96"	"E86"	"Intraop and postproc comp and disorders of ms sys, NEC"	"Volume depletion"	1	191	43	234
"M96"	"I50"	"Intraop and postproc comp and disorders of ms sys, NEC"	"Heart failure"	1	180	76	256
"M96"	"J18"	"Intraop and postproc comp and disorders of ms sys, NEC"	"Pneumonia, unspecified organism"	1	382	188	570
"M96"	"J96"	"Intraop and postproc comp and disorders of ms sys, NEC"	"Respiratory failure, not elsewhere classified"	1	170	20	190
"M96"	"N18"	"Intraop and postproc comp and disorders of ms sys, NEC"	"Chronic kidney disease (CKD)"	1	75	11	86
"M99"	"C18"	"Biomechanical lesions, not elsewhere classified"	"Malignant neoplasm of colon"	1	114	40	154
"M99"	"C79"	"Biomechanical lesions, not elsewhere classified"	"Secondary malignant neoplasm of other and unspecified sites"	1	175	59	234
"M99"	"J22"	"Biomechanical lesions, not elsewhere classified"	"Unspecified acute lower respiratory infection"	1	29	1	30
"M99"	"J44"	"Biomechanical lesions, not elsewhere classified"	"Other chronic obstructive pulmonary disease"	1	569	332	901
"M99"	"J90"	"Biomechanical lesions, not elsewhere classified"	"Pleural effusion, not elsewhere classified"	1	74	10	84
"M99"	"J96"	"Biomechanical lesions, not elsewhere classified"	"Respiratory failure, not elsewhere classified"	1	408	18	426
"M99"	"N19"	"Biomechanical lesions, not elsewhere classified"	"Unspecified kidney failure"	1	103	43	146
"N00"	"H57"	"Acute nephritic syndrome"	"Other disorders of eye and adnexa"	1	50	7	57
"N00"	"N05"	"Acute nephritic syndrome"	"Unspecified nephritic syndrome"	1	341	201	542
"N00"	"N18"	"Acute nephritic syndrome"	"Chronic kidney disease (CKD)"	1	988	640	1628
"N00"	"N28"	"Acute nephritic syndrome"	"Oth disorders of kidney and ureter, not elsewhere classified"	1	123	50	173
"N00"	"O72"	"Acute nephritic syndrome"	"Postpartum hemorrhage"	1	38	0	38
"N03"	"A08"	"Chronic nephritic syndrome"	"Viral and other specified intestinal infections"	1	67	19	86
"N03"	"B02"	"Chronic nephritic syndrome"	"Zoster [herpes zoster]"	1	66	15	81
"N03"	"B07"	"Chronic nephritic syndrome"	"Viral warts"	1	97	0	97
"N03"	"B25"	"Chronic nephritic syndrome"	"Cytomegaloviral disease"	1	72	10	82
"N03"	"B37"	"Chronic nephritic syndrome"	"Candidiasis"	1	56	12	68
"N03"	"C34"	"Chronic nephritic syndrome"	"Malignant neoplasm of bronchus and lung"	1	51	8	59
"N03"	"C78"	"Chronic nephritic syndrome"	"Secondary malignant neoplasm of resp and digestive organs"	1	49	0	49
"N03"	"C79"	"Chronic nephritic syndrome"	"Secondary malignant neoplasm of other and unspecified sites"	1	28	1	29
"N03"	"D68"	"Chronic nephritic syndrome"	"Other coagulation defects"	1	52	11	63
"N03"	"E21"	"Chronic nephritic syndrome"	"Hyperparathyroidism and other disorders of parathyroid gland"	1	134	12	146
"N03"	"E83"	"Chronic nephritic syndrome"	"Disorders of mineral metabolism"	1	61	7	68
"N03"	"E86"	"Chronic nephritic syndrome"	"Volume depletion"	1	256	92	348
"N03"	"I21"	"Chronic nephritic syndrome"	"Acute myocardial infarction"	1	200	110	310
"N03"	"I50"	"Chronic nephritic syndrome"	"Heart failure"	1	293	173	466
"N03"	"I51"	"Chronic nephritic syndrome"	"Complications and ill-defined descriptions of heart disease"	1	51	11	62
"N03"	"I70"	"Chronic nephritic syndrome"	"Atherosclerosis"	1	199	59	258
"N03"	"I73"	"Chronic nephritic syndrome"	"Other peripheral vascular diseases"	1	91	21	112
"N03"	"I95"	"Chronic nephritic syndrome"	"Hypotension"	1	92	23	115
"N03"	"J06"	"Chronic nephritic syndrome"	"Acute upper resp infections of multiple and unsp sites"	1	41	7	48
"N03"	"J18"	"Chronic nephritic syndrome"	"Pneumonia, unspecified organism"	1	635	318	953
"N03"	"J81"	"Chronic nephritic syndrome"	"Pulmonary edema"	1	128	45	173
"N03"	"K62"	"Chronic nephritic syndrome"	"Other diseases of anus and rectum"	1	133	31	164
